anio,n,prima_total,indemnizacion_total,resultado_total,payout_promedio,tasa_evento_perdida,monto_asegurado_total,loss_ratio
2007,25,101164195.04031749,29859413.18886457,71304781.85145292,0.09762377441517023,0.28,320082377.81198883,0.29515791804565383
2008,25,105410974.22097868,59185677.92574656,46225296.29523212,0.21779064719648283,0.4,333519139.48094445,0.5614754854809751
2009,25,100851348.09564205,67539319.4936051,33312028.602036938,0.2110313571244518,0.56,319092533.5899,0.6696917866636192
2010,25,119870730.6949422,37354386.221079126,82516344.47386308,0.17889815178471935,0.4,379269646.69275,0.31162224510119924
2011,25,200922103.13458937,159257801.98186392,41664301.15272546,0.2518043661130758,0.4,635715279.5084722,0.7926345558665775
2012,25,125156037.38777906,182740877.1448998,-57584839.75712071,0.4737739481332843,0.88,395992297.75555557,1.460104370184731
2013,25,91217158.37697387,99751150.74358313,-8533992.366609259,0.3361698970214933,0.76,288610065.4378611,1.0935568759042105
2014,25,120518939.21509254,142398373.10496777,-21879433.88987522,0.37808017194280197,0.16,381320571.1761111,1.181543531932575
2015,25,94365597.41260995,70942286.65427168,23423310.75833826,0.2625558557665093,0.08,298571691.21386665,0.7517812486692502
2016,25,90450268.74648039,14705528.35846701,75744740.38801338,0.0851987992629834,0.08,286183635.25325,0.16258136722273955
2017,25,89760071.20812447,10459331.648248056,79300739.55987641,0.029785091837105097,0.12,283999857.9875,0.11652543839895425
2018,25,77159032.28368078,5597887.518840177,71561144.7648406,0.0287681371920782,0.12,244130312.24327776,0.0725499964574353
2019,25,51703933.97111323,8950098.557531457,42753835.41358177,0.08827344427403991,0.04,163590666.84722224,0.17310285446619672
2020,25,55046611.478163205,13486963.829209264,41559647.64895394,0.15633752916623775,0.2,174166860.96697775,0.24500988284373318
2021,25,80414706.3025239,159041962.64001125,-78627256.33748734,0.6768241563603767,0.32,254431228.30272654,1.9777721010593252
2022,25,103644170.14663771,209032773.78969732,-105388603.64305961,0.6580399152852963,0.52,327928991.21734595,2.0168309852252553
2023,25,81426974.17243493,48343851.70099964,33083122.471435275,0.2020234103159947,0.48,257634032.483145,0.5937080702350996
2024,25,109383980.61680125,1558536.488310185,107825444.12849106,0.043191687161089246,0.28,346089687.13103265,0.014248306557521602
